id,z,image_path,mask_path,fold
000e218f21,841,/workdir/data/train/images/000e218f21.png,/workdir/data/train/masks/000e218f21.png,2
003c477d7c,673,/workdir/data/train/images/003c477d7c.png,/workdir/data/train/masks/003c477d7c.png,1
00441f1cf2,330,/workdir/data/train/images/00441f1cf2.png,/workdir/data/train/masks/00441f1cf2.png,3
0050766ae2,835,/workdir/data/train/images/0050766ae2.png,/workdir/data/train/masks/0050766ae2.png,1
005b452274,657,/workdir/data/train/images/005b452274.png,/workdir/data/train/masks/005b452274.png,3
0061281eea,549,/workdir/data/train/images/0061281eea.png,/workdir/data/train/masks/0061281eea.png,4
008a50a2ec,524,/workdir/data/train/images/008a50a2ec.png,/workdir/data/train/masks/008a50a2ec.png,2
00950d1627,922,/workdir/data/train/images/00950d1627.png,/workdir/data/train/masks/00950d1627.png,2
00a3af90ab,531,/workdir/data/train/images/00a3af90ab.png,/workdir/data/train/masks/00a3af90ab.png,0
00cda0328c,564,/workdir/data/train/images/00cda0328c.png,/workdir/data/train/masks/00cda0328c.png,0
0108518d1e,424,/workdir/data/train/images/0108518d1e.png,/workdir/data/train/masks/0108518d1e.png,1
010ee525b6,130,/workdir/data/train/images/010ee525b6.png,/workdir/data/train/masks/010ee525b6.png,1
0115703825,781,/workdir/data/train/images/0115703825.png,/workdir/data/train/masks/0115703825.png,4
01323211a0,577,/workdir/data/train/images/01323211a0.png,/workdir/data/train/masks/01323211a0.png,2
016fc8031c,422,/workdir/data/train/images/016fc8031c.png,/workdir/data/train/masks/016fc8031c.png,2
019afb4b4e,685,/workdir/data/train/images/019afb4b4e.png,/workdir/data/train/masks/019afb4b4e.png,3
01b5362cce,477,/workdir/data/train/images/01b5362cce.png,/workdir/data/train/masks/01b5362cce.png,3
01c033e116,494,/workdir/data/train/images/01c033e116.png,/workdir/data/train/masks/01c033e116.png,3
01c2045d03,640,/workdir/data/train/images/01c2045d03.png,/workdir/data/train/masks/01c2045d03.png,4
020376e68e,721,/workdir/data/train/images/020376e68e.png,/workdir/data/train/masks/020376e68e.png,4
020678ec1b,174,/workdir/data/train/images/020678ec1b.png,/workdir/data/train/masks/020678ec1b.png,3
02117a400e,696,/workdir/data/train/images/02117a400e.png,/workdir/data/train/masks/02117a400e.png,2
021494f3aa,345,/workdir/data/train/images/021494f3aa.png,/workdir/data/train/masks/021494f3aa.png,2
02206b234e,828,/workdir/data/train/images/02206b234e.png,/workdir/data/train/masks/02206b234e.png,4
022b1b01be,64,/workdir/data/train/images/022b1b01be.png,/workdir/data/train/masks/022b1b01be.png,4
023d486fba,835,/workdir/data/train/images/023d486fba.png,/workdir/data/train/masks/023d486fba.png,0
0243477802,261,/workdir/data/train/images/0243477802.png,/workdir/data/train/masks/0243477802.png,3
0249c49180,402,/workdir/data/train/images/0249c49180.png,/workdir/data/train/masks/0249c49180.png,0
026b509cd4,150,/workdir/data/train/images/026b509cd4.png,/workdir/data/train/masks/026b509cd4.png,1
026f97575b,152,/workdir/data/train/images/026f97575b.png,/workdir/data/train/masks/026f97575b.png,1
