id,z,image_path,mask_path,fold
000e218f21,841,/workdir/data/train/images148/000e218f21.png,/workdir/data/train/masks148/000e218f21.png,1
003c477d7c,673,/workdir/data/train/images148/003c477d7c.png,/workdir/data/train/masks148/003c477d7c.png,3
00441f1cf2,330,/workdir/data/train/images148/00441f1cf2.png,/workdir/data/train/masks148/00441f1cf2.png,1
0050766ae2,835,/workdir/data/train/images148/0050766ae2.png,/workdir/data/train/masks148/0050766ae2.png,0
005b452274,657,/workdir/data/train/images148/005b452274.png,/workdir/data/train/masks148/005b452274.png,1
0061281eea,549,/workdir/data/train/images148/0061281eea.png,/workdir/data/train/masks148/0061281eea.png,2
008a50a2ec,524,/workdir/data/train/images148/008a50a2ec.png,/workdir/data/train/masks148/008a50a2ec.png,0
00950d1627,922,/workdir/data/train/images148/00950d1627.png,/workdir/data/train/masks148/00950d1627.png,0
00a3af90ab,531,/workdir/data/train/images148/00a3af90ab.png,/workdir/data/train/masks148/00a3af90ab.png,2
00cda0328c,564,/workdir/data/train/images148/00cda0328c.png,/workdir/data/train/masks148/00cda0328c.png,2
0108518d1e,424,/workdir/data/train/images148/0108518d1e.png,/workdir/data/train/masks148/0108518d1e.png,2
010ee525b6,130,/workdir/data/train/images148/010ee525b6.png,/workdir/data/train/masks148/010ee525b6.png,3
0115703825,781,/workdir/data/train/images148/0115703825.png,/workdir/data/train/masks148/0115703825.png,5
01323211a0,577,/workdir/data/train/images148/01323211a0.png,/workdir/data/train/masks148/01323211a0.png,3
016fc8031c,422,/workdir/data/train/images148/016fc8031c.png,/workdir/data/train/masks148/016fc8031c.png,2
019afb4b4e,685,/workdir/data/train/images148/019afb4b4e.png,/workdir/data/train/masks148/019afb4b4e.png,5
01b5362cce,477,/workdir/data/train/images148/01b5362cce.png,/workdir/data/train/masks148/01b5362cce.png,3
01c033e116,494,/workdir/data/train/images148/01c033e116.png,/workdir/data/train/masks148/01c033e116.png,4
01c2045d03,640,/workdir/data/train/images148/01c2045d03.png,/workdir/data/train/masks148/01c2045d03.png,3
020376e68e,721,/workdir/data/train/images148/020376e68e.png,/workdir/data/train/masks148/020376e68e.png,1
020678ec1b,174,/workdir/data/train/images148/020678ec1b.png,/workdir/data/train/masks148/020678ec1b.png,2
02117a400e,696,/workdir/data/train/images148/02117a400e.png,/workdir/data/train/masks148/02117a400e.png,4
021494f3aa,345,/workdir/data/train/images148/021494f3aa.png,/workdir/data/train/masks148/021494f3aa.png,2
02206b234e,828,/workdir/data/train/images148/02206b234e.png,/workdir/data/train/masks148/02206b234e.png,3
022b1b01be,64,/workdir/data/train/images148/022b1b01be.png,/workdir/data/train/masks148/022b1b01be.png,3
023d486fba,835,/workdir/data/train/images148/023d486fba.png,/workdir/data/train/masks148/023d486fba.png,3
0243477802,261,/workdir/data/train/images148/0243477802.png,/workdir/data/train/masks148/0243477802.png,3
0249c49180,402,/workdir/data/train/images148/0249c49180.png,/workdir/data/train/masks148/0249c49180.png,4
026b509cd4,150,/workdir/data/train/images148/026b509cd4.png,/workdir/data/train/masks148/026b509cd4.png,0
026f97575b,152,/workdir/data/train/images148/026f97575b.png,/workdir/data/train/masks148/026f97575b.png,3
0280db420c,433,/workdir/data/train/images148/0280db420c.png,/workdir/data/train/masks148/0280db420c.png,0
0280deb8ae,363,/workdir/data/train/images148/0280deb8ae.png,/workdir/data/train/masks148/0280deb8ae.png,2
029c321179,675,/workdir/data/train/images148/029c321179.png,/workdir/data/train/masks148/029c321179.png,0
02adf272e9,497,/workdir/data/train/images148/02adf272e9.png,/workdir/data/train/masks148/02adf272e9.png,4
02d40993ab,610,/workdir/data/train/images148/02d40993ab.png,/workdir/data/train/masks148/02d40993ab.png,4
03049b14ca,470,/workdir/data/train/images148/03049b14ca.png,/workdir/data/train/masks148/03049b14ca.png,5
0304e9ac37,436,/workdir/data/train/images148/0304e9ac37.png,/workdir/data/train/masks148/0304e9ac37.png,4
03511989ac,434,/workdir/data/train/images148/03511989ac.png,/workdir/data/train/masks148/03511989ac.png,1
0389fc6012,391,/workdir/data/train/images148/0389fc6012.png,/workdir/data/train/masks148/0389fc6012.png,4
03a9a9f615,582,/workdir/data/train/images148/03a9a9f615.png,/workdir/data/train/masks148/03a9a9f615.png,5
03be56aa9a,697,/workdir/data/train/images148/03be56aa9a.png,/workdir/data/train/masks148/03be56aa9a.png,1
03c9b5ffe8,819,/workdir/data/train/images148/03c9b5ffe8.png,/workdir/data/train/masks148/03c9b5ffe8.png,5
03eed26d3e,183,/workdir/data/train/images148/03eed26d3e.png,/workdir/data/train/masks148/03eed26d3e.png,0
0401ae15d3,457,/workdir/data/train/images148/0401ae15d3.png,/workdir/data/train/masks148/0401ae15d3.png,3
